distanceminus,number
1,220365
2,142381
3,121562
4,107751
5,91041
6,74984
7,65040
8,56628
9,53517
10,49097
11,43152
12,39411
13,36326
14,35139
15,31127
16,27727
17,27281
18,26764
19,24564
20,21614
21,20161
22,19553
23,17762
24,15487
25,14481
26,13416
27,12751
28,12556
29,10621
30,10447
31,10385
32,10045
33,10243
34,8662
35,8286
36,7858
37,7620
38,7762
39,6877
40,7449
41,7297
42,7402
43,6380
44,5861
45,5513
46,5238
47,4590
48,4725
49,4770
50,4915
51,4995
52,4303
53,4492
54,4320
55,4101
56,3996
57,4167
58,3860
59,3527
60,3124
61,3322
62,3047
63,2987
64,2928
65,2938
66,2834
67,2763
68,2799
69,2404
70,2324
71,2092
72,2013
73,2031
74,2142
75,2061
76,2334
77,2064
78,2052
79,2053
80,2153
81,1723
82,1651
83,1683
84,1425
85,1451
86,1608
87,1623
88,1509
89,1446
90,1477
91,1527
92,1486
93,1535
94,1351
95,1434
96,1404
97,1382
98,1251
99,1264
100,1349
